stride,hits_per_kb,bytes,engine,ms_min,ms_median,ms_mean,iters,reps
5,38.2804,1000006,ruby,274.73,284.862,282.414,10,5
5,38.2804,1000006,c_today,176.461,180.729,180.965,10,5
5,38.2804,1000006,glibc_baseline,2360.474,2512.329,2462.001,10,5
5,38.2804,1000006,onigmo,403.756,407.284,408.657,10,5
5,38.2804,1000006,pcre2jit,71.96,73.112,72.951,10,5
5,38.2804,1000006,v7_pipeline,763.078,782.307,779.656,10,5
5,38.2804,1000006,v15,815.029,837.508,834.23,10,5
5,38.2804,1000006,v18,317.14,318.378,318.727,10,5
5,38.2804,1000006,v18_1,183.094,184.064,184.726,10,5
5,38.2804,1000006,v19,151.197,152.472,153.098,10,5
8,34.4202,1000015,ruby,198.499,205.406,204.197,10,5
8,34.4202,1000015,c_today,156.95,159.837,160.073,10,5
8,34.4202,1000015,glibc_baseline,2225.104,2318.652,2298.965,10,5
8,34.4202,1000015,onigmo,369.333,372.442,372.882,10,5
8,34.4202,1000015,pcre2jit,69.526,69.889,70.602,10,5
8,34.4202,1000015,v7_pipeline,661.098,682.301,675.668,10,5
8,34.4202,1000015,v15,714.652,720.581,719.292,10,5
8,34.4202,1000015,v18,306.605,309.622,310.275,10,5
8,34.4202,1000015,v18_1,164.619,167.058,167.503,10,5
8,34.4202,1000015,v19,137.16,137.327,138.215,10,5
12,30.3407,1000024,ruby,171.229,172.057,172.618,10,5
12,30.3407,1000024,c_today,142.331,142.883,142.922,10,5
12,30.3407,1000024,glibc_baseline,2133.131,2216.305,2250.16,10,5
12,30.3407,1000024,onigmo,344.607,373.671,368.225,10,5
12,30.3407,1000024,pcre2jit,65.698,65.98,66.375,10,5
12,30.3407,1000024,v7_pipeline,553.83,557.835,563.728,10,5
12,30.3407,1000024,v15,643.298,654.516,654.617,10,5
12,30.3407,1000024,v18,300.179,312.414,309.289,10,5
12,30.3407,1000024,v18_1,151.35,152.928,153.346,10,5
12,30.3407,1000024,v19,120.343,120.404,121.185,10,5
19,25.1288,1000029,ruby,184.066,186.833,186.415,10,5
19,25.1288,1000029,c_today,120.193,120.452,120.971,10,5
19,25.1288,1000029,glibc_baseline,1788.856,1921.466,1885.383,10,5
19,25.1288,1000029,onigmo,290.523,290.582,291.836,10,5
19,25.1288,1000029,pcre2jit,56.996,57.382,57.48,10,5
19,25.1288,1000029,v7_pipeline,393.603,394.766,395.426,10,5
19,25.1288,1000029,v15,541.24,546.607,545.148,10,5
19,25.1288,1000029,v18,241.858,242.561,242.669,10,5
19,25.1288,1000029,v18_1,127.749,128.238,128.231,10,5
19,25.1288,1000029,v19,103.402,103.593,103.614,10,5
30,19.7874,1000001,ruby,164.014,166.349,165.733,10,5
30,19.7874,1000001,c_today,97.529,98.414,98.362,10,5
30,19.7874,1000001,glibc_baseline,1624.193,1639.135,1638.683,10,5
30,19.7874,1000001,onigmo,249.904,254.708,254.311,10,5
30,19.7874,1000001,pcre2jit,53.673,53.99,54.014,10,5
30,19.7874,1000001,v7_pipeline,286.145,288.456,288.36,10,5
30,19.7874,1000001,v15,496.137,497.511,500.741,10,5
30,19.7874,1000001,v18,234.498,234.824,234.87,10,5
30,19.7874,1000001,v18_1,117.856,118.151,118.384,10,5
30,19.7874,1000001,v19,94.286,95.338,95.578,10,5
47,14.8945,1000025,ruby,173.8,175.964,176.07,10,5
47,14.8945,1000025,c_today,95.666,95.736,95.744,10,5
47,14.8945,1000025,glibc_baseline,1525.341,1538.603,1535.913,10,5
47,14.8945,1000025,onigmo,230.706,233.916,233.716,10,5
47,14.8945,1000025,pcre2jit,49.505,49.651,49.681,10,5
47,14.8945,1000025,v7_pipeline,207.733,208.36,208.421,10,5
47,14.8945,1000025,v15,525.851,526.627,527.979,10,5
47,14.8945,1000025,v18,208.295,211.742,211.335,10,5
47,14.8945,1000025,v18_1,117.457,118.08,118.324,10,5
47,14.8945,1000025,v19,94.544,94.739,94.893,10,5
50,14.2718,1000042,ruby,180.597,184.533,183.257,10,5
50,14.2718,1000042,c_today,97.12,98.559,98.209,10,5
50,14.2718,1000042,glibc_baseline,1554.868,1567.487,1567.16,10,5
50,14.2718,1000042,onigmo,240.772,244.403,243.927,10,5
50,14.2718,1000042,pcre2jit,48.542,48.635,48.637,10,5
50,14.2718,1000042,v7_pipeline,195.574,196.205,196.287,10,5
50,14.2718,1000042,v15,548.05,553.43,552.179,10,5
50,14.2718,1000042,v18,209.003,213.662,212.846,10,5
50,14.2718,1000042,v18_1,119.866,120.518,120.424,10,5
50,14.2718,1000042,v19,97.764,98.122,98.112,10,5
73,10.8074,1000089,ruby,162.962,164.778,164.222,10,5
73,10.8074,1000089,c_today,79.273,79.434,79.505,10,5
73,10.8074,1000089,glibc_baseline,1457.632,1459.93,1462.421,10,5
73,10.8074,1000089,onigmo,200.705,205.441,205.458,10,5
73,10.8074,1000089,pcre2jit,46.832,46.877,46.91,10,5
73,10.8074,1000089,v7_pipeline,151.808,151.862,151.957,10,5
73,10.8074,1000089,v15,428.122,429.651,432.507,10,5
73,10.8074,1000089,v18,197.601,198.98,199.125,10,5
73,10.8074,1000089,v18_1,101.642,102.173,102.055,10,5
73,10.8074,1000089,v19,80.524,80.768,80.801,10,5
114,7.5433,1000097,ruby,160.497,161.959,161.805,10,5
114,7.5433,1000097,c_today,74.723,75.47,75.534,10,5
114,7.5433,1000097,glibc_baseline,1380.054,1387.195,1386.745,10,5
114,7.5433,1000097,onigmo,196.65,197.948,197.88,10,5
114,7.5433,1000097,pcre2jit,44.171,44.264,44.321,10,5
114,7.5433,1000097,v7_pipeline,112.996,113.437,113.652,10,5
114,7.5433,1000097,v15,408.426,408.858,409.559,10,5
