stride,hits_per_kb,bytes,engine,ms_min,ms_median,ms_mean,iters,reps
5,38.2804,1000006,glibc_baseline,1816.526,1845.377,1845.013,10,10
8,34.4202,1000015,glibc_baseline,1726.105,1738.783,1748.991,10,10
12,30.3407,1000024,glibc_baseline,1664.14,1719.827,1723.074,10,10
19,25.1288,1000029,glibc_baseline,1561.643,1581.49,1577.222,10,10
30,19.7874,1000001,glibc_baseline,1418.023,1495.992,1489.382,10,10
47,14.8945,1000025,glibc_baseline,1382.589,1426.069,1424.189,10,10
50,14.2718,1000042,glibc_baseline,1399.122,1405.222,1408.654,10,10
73,10.8074,1000089,glibc_baseline,1299.035,1307.807,1312.017,10,10
114,7.5433,1000097,glibc_baseline,1214.358,1270.405,1258.201,10,10
179,5.1009,1000111,glibc_baseline,1170.267,1179.855,1181.045,10,10
280,3.3935,1000190,glibc_baseline,1155.419,1160.087,1162.522,10,10
437,2.2322,1000411,glibc_baseline,1127.887,1130.967,1130.661,10,10
500,1.9626,1000025,glibc_baseline,1116.925,1118.88,1119.64,10,10
684,1.4509,1000643,glibc_baseline,1102.134,1103.646,1103.48,10,10
1069,0.9388,1000193,glibc_baseline,1086.242,1091.428,1090.77,10,10
1672,0.6046,1000879,glibc_baseline,1067.419,1069.635,1076.165,10,10
2615,0.3884,1001794,glibc_baseline,1043.581,1079.845,1076.694,10,10
4089,0.2491,1002873,glibc_baseline,1049.219,1054.581,1055.153,10,10
5000,0.2039,1004296,glibc_baseline,1045.207,1053.621,1052.906,10,10
6395,0.1596,1000974,glibc_baseline,1041.531,1057.058,1057.035,10,10
10000,0.1022,1002095,glibc_baseline,1051.099,1074.677,1076.944,10,10
