engine,category,ir,pct
glibc,automaton,4217253736,73.44
glibc,setup,1485539725,25.87
glibc,prefilter,0,0.00
glibc,output,3593383,0.06
glibc,alloc,26245852,0.46
glibc,libonig,0,0.00
glibc,other,9887023,0.17
v19,automaton,1316664257,91.31
v19,setup,208284,0.01
v19,prefilter,85928162,5.96
v19,output,155279,0.01
v19,alloc,1038007,0.07
v19,libonig,0,0.00
v19,other,37956229,2.63
onigmo,automaton,0,0.00
onigmo,setup,207737,0.01
onigmo,prefilter,0,0.00
onigmo,output,9548647,0.32
onigmo,alloc,18125131,0.61
onigmo,libonig,2888288380,96.69
onigmo,other,71074931,2.38
